system:index,aClass,dClass,eClass,finalCla_1,finalClass,include,lat,lon,pointID,random,sysID,v1_2_Class,.geo
00000000000000000001,0,0,0,0,1,1,-5.296180764,134.4446836,,0.262269463,1_1_353,0,"{""type"":""Point"",""coordinates"":[134.44468369955163,-5.296181339602953]}"
00000000000000000002,0,0,0,0,1,1,53.4401646,5.787969412,,0.264046104,1_1_587,0,"{""type"":""Point"",""coordinates"":[5.787971135686445,53.44016346153792]}"
00000000000000000003,0,0,0,0,1,1,-21.5377201,-41.20739437,,0.264718092,1_1_7,0,"{""type"":""Point"",""coordinates"":[-41.207395604992456,-21.537721175105748]}"
00000000000000000005,0,0,0,0,1,1,14.02208929,123.6604086,,0.266080246,1_1_414,0,"{""type"":""Point"",""coordinates"":[123.66041022920753,14.022089172665911]}"
00000000000000000006,0,0,0,0,1,1,-18.75743431,35.93093857,,0.267506085,1_1_222,0,"{""type"":""Point"",""coordinates"":[35.930936869348905,-18.75743599547381]}"
00000000000000000007,0,0,0,0,1,1,52.39811798,-78.8692615,,0.269143066,1_1_623,0,"{""type"":""Point"",""coordinates"":[-78.86926186216694,52.39811613635816]}"
00000000000000000008,0,0,0,0,1,1,48.71951691,-122.9406091,,0.271533738,1_1_668,0,"{""type"":""Point"",""coordinates"":[-122.94060875985713,48.719518294903246]}"
0000000000000000000a,0,0,0,0,1,1,5.182667854,-3.415270613,,0.274896498,1_1_74,0,"{""type"":""Point"",""coordinates"":[-3.4152700878447324,5.18266600408538]}"
0000000000000000000e,0,0,0,0,1,1,59.93049248,28.86119733,,0.279469829,1_1_556,0,"{""type"":""Point"",""coordinates"":[28.86119713584944,59.93049206325369]}"
00000000000000000013,0,0,0,0,1,1,24.42458021,51.1439087,,0.289948292,1_1_488,0,"{""type"":""Point"",""coordinates"":[51.143909242156504,24.424578869915035]}"
00000000000000000014,0,0,0,0,1,1,10.28060616,106.6148771,,0.290039384,1_1_400,0,"{""type"":""Point"",""coordinates"":[106.61487663736423,10.280604629054238]}"
00000000000000000015,0,0,0,0,1,1,39.5701767,119.5191761,,0.290063433,1_1_426,0,"{""type"":""Point"",""coordinates"":[119.51917619435655,39.57017868490612]}"
00000000000000000017,0,0,0,0,1,1,27.66300769,-82.34574163,,0.291005836,1_1_858,0,"{""type"":""Point"",""coordinates"":[-82.34574203017232,27.66300546908116]}"
00000000000000000018,0,0,0,0,1,1,-12.06049391,136.9375093,,0.292193892,1_1_748,0,"{""type"":""Point"",""coordinates"":[136.93750847067213,-12.060494946446639]}"
00000000000000000019,0,0,0,0,1,1,30.20074835,-80.91742034,,0.292765828,1_1_866,0,"{""type"":""Point"",""coordinates"":[-80.91742061713674,30.20074676511301]}"
0000000000000000001b,0,0,0,0,1,1,-11.93473067,-77.20288666,,0.293231378,1_1_1012,0,"{""type"":""Point"",""coordinates"":[-77.2028868802921,-11.934730460335253]}"
0000000000000000001d,0,0,0,0,1,1,-37.02018391,140.2882244,,0.293881125,1_1_787,0,"{""type"":""Point"",""coordinates"":[140.28822415256613,-37.02018377917939]}"
0000000000000000001e,0,0,0,0,1,1,18.68434648,-95.86987814,,0.294783766,1_1_831,0,"{""type"":""Point"",""coordinates"":[-95.86987892909887,18.684346870106783]}"
0000000000000000001f,0,0,0,0,1,1,15.97143345,-85.98841098,,0.296568549,1_1_1001,0,"{""type"":""Point"",""coordinates"":[-85.98841289443963,15.971434248291361]}"
00000000000000000020,0,0,0,0,1,1,29.06437952,-83.4551619,,0.297403822,1_1_868,0,"{""type"":""Point"",""coordinates"":[-83.4551619131686,29.064380534450756]}"
